Provincia;Cod;Municipio;Total_Poblacion;Nacidos_ES;Nacidos_NO_ES;Total_Europa;Total_Unión_Europea;Alemania;Bulgaria;Francia;Italia;Polonia;Portugal;Reino_Unido;Rumanía;Total_Europa_No_Comunitaria;Rusia;Ucrania;Total_Africa;Argelia;Marruecos;Nigeria;Senegal;Total_América;Argentina;Bolivia;Brasil;Colombia;Cuba;Chile;Ecuador;Paraguay;Perú;Rep._Dominicana;Uruguay;Venezuela;Total_Asia;China;Pakistán;Oceanía;
Albacete;02032;"Fuensanta";174;159;15;12;12;2;0;0;0;0;0;0;10;0;0;0;1;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02033;"Fuente";1354;1194;160;56;56;0;0;0;1;0;0;0;54;0;0;0;85;1;84;0;0;19;1;4;0;1;0;0;13;0;0;0;0;0;0;0;0;0;
Albacete;02034;"Fuentealbilla";949;815;134;103;101;0;7;4;0;0;0;1;87;2;0;2;5;0;5;0;0;26;3;9;5;3;0;0;1;2;1;0;0;2;0;0;0;0;
Albacete;02035;"Gineta,La";1292;1212;80;48;47;1;7;4;1;1;4;0;28;1;0;0;15;2;10;0;0;15;3;1;0;5;0;2;1;0;1;0;0;1;2;0;1;0
Albacete;02036;"Golosalvo";59;51;8;1;1;0;0;1;0;0;0;0;0;0;0;0;7;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02037;"Hellín";15184;13514;1670;264;235;9;16;86;5;1;1;3;105;29;0;1;459;11;419;0;11;919;32;463;8;45;9;11;296;8;5;20;6;6;28;12;3;0;
Albacete;02038;"Herrera,La";173;155;18;13;13;0;0;0;0;0;0;0;13;0;0;0;4;0;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Albacete;02039;"Higueruela";630;606;24;15;14;0;0;0;0;0;0;0;14;1;0;0;5;0;5;0;0;3;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;
Albacete;02040;"Hoya";360;340;20;2;1;0;0;0;0;0;0;0;1;1;0;0;9;0;9;0;0;9;0;4;1;0;1;0;3;0;0;0;0;0;0;0;0;0;
Albacete;02041;"Jorquera";198;195;3;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;
Albacete;02042;"Letur";474;466;8;5;4;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02043;"Lezuza";750;722;28;14;14;0;0;1;0;0;0;0;13;0;0;0;7;0;6;0;1;7;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
Albacete;02044;"Liétor";667;653;14;9;9;0;0;6;0;0;0;1;2;0;0;0;4;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02045;"Madrigueras";2400;2218;182;126;122;0;5;29;0;0;0;1;86;4;0;1;30;5;23;0;1;25;1;2;0;5;0;0;12;0;1;0;3;0;1;1;0;0;
Albacete;02046;"Mahora";691;653;38;20;17;0;0;5;0;1;0;0;11;3;0;0;18;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02047;"Masegoso";63;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02048;"Minaya";798;693;105;68;68;1;1;1;0;1;0;0;64;0;0;0;33;0;33;0;0;4;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;
Albacete;02049;"Molinicos";459;448;11;7;7;0;0;2;0;0;0;3;0;0;0;0;0;0;0;0;0;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02050;"Montalvos";57;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02051;"Montealegre del Castillo";1061;977;84;14;12;0;3;0;0;0;0;0;9;2;0;2;13;1;6;0;0;57;0;5;0;5;1;0;44;0;0;0;0;1;0;0;0;0;
Albacete;02052;"Motilleja";293;280;13;9;9;0;0;5;0;0;0;0;4;0;0;0;3;2;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02053;"Munera";1842;1803;39;19;14;3;1;1;0;0;0;0;9;5;1;0;8;0;8;0;0;9;1;0;0;5;0;0;2;0;0;1;0;0;3;3;0;0;
Albacete;02054;"Navas de Jorquera";270;231;39;38;38;0;0;0;0;0;0;0;36;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02055;"Nerpio";715;708;7;2;2;0;0;0;0;0;0;2;0;0;0;0;3;0;3;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
Albacete;02056;"Ontur";1054;979;75;60;55;4;25;16;0;0;0;0;6;5;0;2;8;0;7;0;0;7;0;5;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
Albacete;02057;"Ossa de Montiel";1203;1169;34;25;17;1;0;0;1;0;0;1;13;8;1;0;2;0;2;0;0;7;0;5;0;1;0;0;1;0;0;0;0;0;0;0;0;0;
Albacete;02058;"Paterna del Madera";205;201;4;3;3;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02060;"Peñas de San Pedro";830;820;10;8;7;0;0;2;1;0;0;0;4;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;
Albacete;02059;"Peñascosa";176;173;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02061;"Pétrola";371;355;16;6;2;0;0;0;0;0;1;0;1;4;0;0;5;0;5;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02062;"Povedilla";248;239;9;5;5;0;0;1;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;
Albacete;02901;"Pozo Cañada";1405;1341;64;24;22;1;3;3;0;0;0;0;15;2;0;2;22;0;21;0;1;18;1;1;0;7;5;0;3;0;0;0;0;0;0;0;0;0;
Albacete;02063;"Pozohondo";888;855;33;21;21;1;1;14;0;0;0;0;5;0;0;0;2;0;1;0;0;10;0;6;0;2;0;0;1;0;0;0;0;0;0;0;0;0;
Albacete;02064;"Pozo";208;199;9;6;5;0;0;3;0;0;0;0;2;1;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02065;"Pozuelo";282;280;2;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;
Albacete;02066;"Recueja,La";144;141;3;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albacete;02067;"Riópar";718;704;14;9;9;1;0;1;0;1;0;1;3;0;0;0;0;0;0;0;0;5;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02068;"Robledo";210;205;5;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;
Albacete;02069;"Roda,La";7966;7045;921;516;503;3;21;15;5;0;2;1;454;13;0;10;269;11;255;0;0;108;9;3;0;45;3;3;17;13;7;1;2;1;28;11;10;0
Albacete;02070;"Salobre";270;238;32;28;28;0;0;4;0;0;0;0;23;0;0;0;3;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;
Albacete;02071;"San Pedro";627;589;38;22;18;0;7;0;0;0;0;0;11;4;0;0;11;0;11;0;0;5;0;0;0;1;0;0;3;0;0;1;0;0;0;0;0;0;
Albacete;02072;"Socovos";932;896;36;22;21;0;7;11;0;0;0;1;1;1;0;0;3;0;3;0;0;11;0;3;0;1;0;0;7;0;0;0;0;0;0;0;0;0;
Albacete;02073;"Tarazona de la Mancha";3277;2975;302;196;122;2;8;38;1;0;1;0;68;74;2;68;79;17;62;0;0;18;0;0;0;5;0;0;6;4;0;1;0;2;9;3;2;0;
Albacete;02074;"Tobarra";3979;3519;460;64;54;7;17;9;2;0;6;0;13;10;1;1;287;12;275;0;0;104;4;21;0;9;5;1;47;3;3;4;0;2;5;4;0;0;
Albacete;02075;"Valdeganga";1008;964;44;17;16;1;1;6;0;0;0;0;6;1;0;1;18;0;18;0;0;9;0;0;1;1;0;0;7;0;0;0;0;0;0;0;0;0;
Albacete;02076;"Vianos";189;189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02077;"Villa de Ves";35;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02078;"Villalgordo del Júcar";590;563;27;19;19;0;0;1;0;1;0;0;17;0;0;0;2;0;2;0;0;6;1;0;0;2;0;0;2;1;0;0;0;0;0;0;0;0;
Albacete;02079;"Villamalea";2049;1725;324;228;176;1;17;0;0;1;0;0;152;52;7;33;45;2;43;0;0;50;0;7;0;3;0;5;33;0;0;2;0;0;1;1;0;0;
Albacete;02080;"Villapalacios";324;299;25;16;15;1;1;1;0;0;0;0;12;1;0;1;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02081;"Villarrobledo";12695;11260;1435;1075;734;7;30;17;0;2;12;7;650;341;6;256;145;11;125;0;6;184;15;41;4;46;1;4;17;20;13;7;7;5;31;12;17;0;
Albacete;02082;"Villatoya";66;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02083;"Villavaliente";136;135;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02084;"Villaverde de Guadalimar";192;188;4;3;3;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02085;"Viveros";175;171;4;3;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
Albacete;02086;"Yeste";1448;1432;16;9;9;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;7;1;1;0;1;0;1;0;0;1;0;0;1;0;0;0;0;
Avila;05001;"Adanero";220;205;15;14;13;3;4;0;0;0;0;0;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
